##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	Undetermined_S0_L008_R1_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	14760166
Total Bases	1.4 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	48
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1112	38-39	0.19258915541610122
1112	40-41	0.21622029866751546
1112	42-43	0.2279889361141727
1112	44-45	0.30792456473742646
1112	46-47	0.26673237172057185
1112	48-49	0.2713839273617893
1112	50-51	0.23680272393599466
1112	52-53	0.22434232458819992
1112	54-55	0.22985775363299865
1112	56-57	0.3135777124128296
1112	58-59	0.2398469778030048
1112	60-61	0.22968126972099867
1112	62-63	0.3128936730520522
1112	64-65	0.3289323904984798
1112	66-67	0.37591124458649006
1112	68-69	0.3062703038691197
1112	70-71	0.40136118022680023
1112	72-73	0.33713099612253217
1112	74-75	0.4874200047959363
1112	76-77	0.4788154626407035
1112	78-79	0.5571934869985995
1112	80-81	0.6051092187051808
1112	82-83	0.6616589688985002
1112	84-85	0.6554146355986603
1112	86-87	0.734077696295536
1112	88-89	0.9198855497634497
1112	90-91	0.9797090181785819
1112	92-93	1.125365372893377
1112	94-95	1.14543232669552
1112	96-97	1.0762105562316577
1112	98-99	1.343799275039622
1112	100-101	1.2280668750325106
1113	1	-0.5127462844059316
1113	2	0.09145580791392405
1113	3	0.08739711242576931
1113	4	0.1576090461623494
1113	5	0.19667146225663856
1113	6	0.23041990041124905
1113	7	0.20282308740342359
1113	8	0.2721862770895669
1113	9	0.2476151545870522
1113	10-11	0.15555091914128383
1113	12-13	0.16227717158719912
1113	14-15	0.1819185963529435
1113	16-17	0.2383000094207759
1113	18-19	0.19308494466044834
1113	20-21	0.23802105650017324
1113	22-23	0.12668650881118992
1113	24-25	0.16910068229994835
1113	26-27	0.24278710286932892
1113	28-29	0.30422990329589084
1113	30-31	0.29856046147506987
1113	32-33	0.27294055382045457
1113	34-35	0.19976235651585483
1113	36-37	0.27967736567253354
1113	38-39	0.259103343203293
1113	40-41	0.26747796447371996
